71743000-71745000 r--p 00000000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
71745000-71746000 r-xp 00002000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
71746000-71747000 rw-p 00000000 00:00 0                                  [anon:.bss]
71747000-71748000 rw-p 00000000 fe:0a 1403                               /system/framework/boot-framework-connectivity-b.vdex
71748000-71749000 r--p 00003000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
71749000-7174a000 rw-p 00004000 fe:0a 1325                               /system/framework/arm64/boot-framework-connectivity-b.oat
7174a000-7174f000 r--p 00000000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
7174f000-71766000 r-xp 00005000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
71766000-71767000 rw-p 00000000 fe:0a 1399                               /system/framework/boot-ext.vdex
71767000-71768000 r--p 0001c000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
71768000-71769000 rw-p 0001d000 fe:0a 1313                               /system/framework/arm64/boot-ext.oat
71769000-71771000 r--p 00000000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
71771000-71780000 rw-p 00000000 fe:0a 1419                               /system/framework/boot-telephony-common.vdex
71780000-71781000 r--p 00008000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
71781000-71782000 rw-p 00009000 fe:0a 1373                               /system/framework/arm64/boot-telephony-common.oat
71782000-71785000 r--p 00000000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
71785000-71786000 r-xp 00003000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
71786000-7178b000 rw-p 00000000 fe:0a 1421                               /system/framework/boot-voip-common.vdex
7178b000-7178c000 r--p 00004000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
7178c000-7178d000 rw-p 00005000 fe:0a 1379                               /system/framework/arm64/boot-voip-common.oat
7178d000-7178f000 r--p 00000000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
7178f000-71791000 rw-p 00000000 fe:0a 1415                               /system/framework/boot-ims-common.vdex
71791000-71792000 r--p 00002000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
71792000-71793000 rw-p 00003000 fe:0a 1361                               /system/framework/arm64/boot-ims-common.oat
71793000-71795000 r--p 00000000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
71795000-71796000 rw-p 00000000 fe:0a 1411                               /system/framework/boot-framework-platformcrashrecovery.vdex
71796000-71797000 r--p 00002000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
71797000-71798000 rw-p 00003000 fe:0a 1349                               /system/framework/arm64/boot-framework-platformcrashrecovery.oat
71798000-7179a000 r--p 00000000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
7179a000-7179b000 rw-p 00000000 fe:0a 1409                               /system/framework/boot-framework-ondeviceintelligence-platform.vdex
7179b000-7179c000 r--p 00002000 fe:0a 1343                               /system/framework/arm64/boot-framework-ondeviceintelligence-platform.oat
